bps_kode_desa_kelurahan,bps_nama_kabupaten_kota,bps_nama_desa_kelurahan,tahun,jarak_sd_terdekat,keberadaan_bumdesa_keuangan_program_usaha_ekonomi_desa,jumlah_fasilitas_olahraga,status_sinyal_telepon_seluler,jumlah_alat_teknologi_tepat_guna_perikanan,jumlah_alat_teknologi_tepat_guna_peternakan,ketersediaan_tempat_pembuangan_sampah,jumlah_tenaga_kesehatan_lainnya,sinyal_score,bumdes_score,sampah_score,cluster,status_desa
3201190006.0,KABUPATEN BOGOR,WANAHERANG,2020.0,120.0,TIDAK ADA,13.0,SINYAL KUAT,0.0,0.0,ADA,10,3,0,1,1,Maju
3201190010.0,KABUPATEN BOGOR,BOJONG KULUR,2020.0,500.0,TIDAK ADA,17.0,SINYAL KUAT,0.0,0.0,ADA,8,3,0,1,1,Maju
3201190009.0,KABUPATEN BOGOR,CIANGSANA,2020.0,50.0,TIDAK ADA,28.0,SINYAL KUAT,0.0,0.0,ADA,5,3,0,1,1,Maju
3201190002.0,KABUPATEN BOGOR,GUNUNG PUTRI,2020.0,500.0,TIDAK ADA,9.0,SINYAL KUAT,12.0,25.0,ADA,0,3,0,1,2,Mandiri (Ekonomi)
3201190004.0,KABUPATEN BOGOR,BOJONG NANGKA,2020.0,500.0,TIDAK ADA,51.0,SINYAL KUAT,3.0,2.0,TIDAK ADA,4,3,0,0,0,Tertinggal
3201190003.0,KABUPATEN BOGOR,TLAJUNG UDIK,2020.0,1000.0,TIDAK ADA,36.0,SINYAL KUAT,0.0,0.0,ADA,0,3,0,1,1,Maju
3201190005.0,KABUPATEN BOGOR,CICADAS,2020.0,50.0,TIDAK ADA,30.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,2,3,0,0,0,Tertinggal
3201190007.0,KABUPATEN BOGOR,CIKEAS UDIK,2020.0,30.0,TIDAK ADA,23.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,2,3,0,0,0,Tertinggal
3201190008.0,KABUPATEN BOGOR,NAGRAK,2020.0,35.0,TIDAK ADA,15.0,SINYAL KUAT,3.0,2.0,TIDAK ADA,5,3,0,0,0,Tertinggal
3201190001.0,KABUPATEN BOGOR,KARANGGAN,2020.0,10.0,TIDAK ADA,24.0,SINYAL KUAT,20.0,2.0,ADA,0,3,0,1,2,Mandiri (Ekonomi)
3201200014.0,KABUPATEN BOGOR,PUSPASARI,2020.0,25.0,TIDAK ADA,18.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,2,3,0,0,0,Tertinggal
3201200012.0,KABUPATEN BOGOR,CITEUREUP,2020.0,50.0,TIDAK ADA,9.0,SINYAL KUAT,6.0,4.0,ADA,2,3,0,1,1,Maju
3201200006.0,KABUPATEN BOGOR,LEUWINUTUG,2020.0,100.0,TIDAK ADA,6.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,3,3,0,0,0,Tertinggal
3201200003.0,KABUPATEN BOGOR,TAJUR,2020.0,2.0,TIDAK ADA,18.0,SINYAL KUAT,2.0,4.0,ADA,70,3,0,1,1,Maju
3201200007.0,KABUPATEN BOGOR,SANJA,2020.0,500.0,TIDAK ADA,5.0,SINYAL KUAT,3.0,5.0,ADA,2,3,0,1,1,Maju
3201200009.0,KABUPATEN BOGOR,KARANG ASEM TIMUR,2020.0,10.0,TIDAK ADA,6.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,1,3,0,0,0,Tertinggal
3201200010.0,KABUPATEN BOGOR,TARIKOLOT,2020.0,100.0,ADA,19.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,2,3,1,0,4,Mandiri (Tata Kelola)
3201200011.0,KABUPATEN BOGOR,GUNUNGSARI,2020.0,500.0,TIDAK ADA,11.0,SINYAL KUAT,0.0,0.0,ADA,75,3,0,1,1,Maju
3201200001.0,KABUPATEN BOGOR,TANGKIL,2020.0,100.0,TIDAK ADA,17.0,SINYAL KUAT,6.0,5.0,ADA,0,3,0,1,1,Maju
3201200005.0,KABUPATEN BOGOR,SUKAHATI,2020.0,5.0,TIDAK ADA,7.0,SINYAL KUAT,4.0,15.0,ADA,4,3,0,1,2,Mandiri (Ekonomi)
3201200002.0,KABUPATEN BOGOR,HAMBALANG,2020.0,500.0,TIDAK ADA,8.0,SINYAL LEMAH,0.0,0.0,TIDAK ADA,2,2,0,0,3,Sangat Tertinggal
3201200004.0,KABUPATEN BOGOR,PASIRMUKTI,2020.0,200.0,TIDAK ADA,5.0,SINYAL KUAT,4.0,5.0,TIDAK ADA,1,3,0,0,0,Tertinggal
3201130002.0,KABUPATEN BOGOR,GUNUNGGEULIS,2020.0,10.0,TIDAK ADA,1.0,SINYAL LEMAH,0.0,0.0,TIDAK ADA,3,2,0,0,3,Sangat Tertinggal
3201130012.0,KABUPATEN BOGOR,CILEBUT TIMUR,2020.0,100.0,TIDAK ADA,1.0,SINYAL KUAT,4.0,3.0,ADA,2,3,0,1,1,Maju
3201130013.0,KABUPATEN BOGOR,CILEBUT BARAT,2020.0,200.0,TIDAK ADA,5.0,SINYAL KUAT,2.0,2.0,ADA,2,3,0,1,1,Maju
3201130001.0,KABUPATEN BOGOR,CIBANON,2020.0,50.0,TIDAK ADA,1.0,SINYAL LEMAH,0.0,0.0,TIDAK ADA,0,2,0,0,3,Sangat Tertinggal
3201130003.0,KABUPATEN BOGOR,NAGRAK,2020.0,500.0,TIDAK ADA,2.0,SINYAL KUAT,0.0,0.0,ADA,7,3,0,1,1,Maju
3201130004.0,KABUPATEN BOGOR,SUKATANI,2020.0,200.0,TIDAK ADA,2.0,SINYAL KUAT,0.0,0.0,ADA,1,3,0,1,1,Maju
3201130005.0,KABUPATEN BOGOR,SUKARAJA,2020.0,200.0,TIDAK ADA,5.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,0,3,0,0,0,Tertinggal
3201130006.0,KABUPATEN BOGOR,CIKEAS,2020.0,15.0,TIDAK ADA,11.0,SINYAL KUAT,0.0,0.0,TIDAK ADA,3,3,0,0,0,Tertinggal
3201130011.0,KABUPATEN BOGOR,PASIR JAMBU,2020.0,5.0,TIDAK ADA,1.0,SINYAL KUAT,4.0,3.0,TIDAK ADA,2,3,0,0,0,Tertinggal
3201130010.0,KABUPATEN BOGOR,CIMANDALA,2020.0,200.0,TIDAK ADA,7.0,SINYAL KUAT,10.0,1.0,ADA,10,3,0,1,1,Maju
