id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jarak,jumlah_desa,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,0-1000 M,350,DESA,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,1001-2000 M,33,DESA,2020
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,2001-3000 M,15,DESA,2020
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,3001-4000 M,6,DESA,2020
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,>4000 M,12,DESA,2020
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0-1000 M,316,DESA,2020
7,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1001-2000 M,29,DESA,2020
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2001-3000 M,19,DESA,2020
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3001-4000 M,5,DESA,2020
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>4000 M,12,DESA,2020
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0-1000 M,279,DESA,2020
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1001-2000 M,18,DESA,2020
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2001-3000 M,9,DESA,2020
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3001-4000 M,6,DESA,2020
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>4000 M,42,DESA,2020
16,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0-1000 M,247,DESA,2020
17,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1001-2000 M,14,DESA,2020
18,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2001-3000 M,3,DESA,2020
19,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3001-4000 M,2,DESA,2020
20,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>4000 M,4,DESA,2020
21,32,JAWA BARAT,3205,KABUPATEN GARUT,0-1000 M,361,DESA,2020
22,32,JAWA BARAT,3205,KABUPATEN GARUT,1001-2000 M,32,DESA,2020
23,32,JAWA BARAT,3205,KABUPATEN GARUT,2001-3000 M,16,DESA,2020
24,32,JAWA BARAT,3205,KABUPATEN GARUT,3001-4000 M,3,DESA,2020
25,32,JAWA BARAT,3205,KABUPATEN GARUT,>4000 M,9,DESA,2020
26,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0-1000 M,302,DESA,2020
27,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1001-2000 M,24,DESA,2020
28,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2001-3000 M,11,DESA,2020
29,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3001-4000 M,5,DESA,2020
30,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>4000 M,9,DESA,2020
31,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0-1000 M,238,DESA,2020
32,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1001-2000 M,13,DESA,2020
33,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2001-3000 M,4,DESA,2020
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3001-4000 M,0,DESA,2020
35,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>4000 M,3,DESA,2020
36,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0-1000 M,352,DESA,2020
37,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1001-2000 M,6,DESA,2020
38,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2001-3000 M,2,DESA,2020
39,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3001-4000 M,1,DESA,2020
40,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>4000 M,0,DESA,2020
41,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-1000 M,393,DESA,2020
42,32,JAWA BARAT,3209,KABUPATEN CIREBON,1001-2000 M,12,DESA,2020
43,32,JAWA BARAT,3209,KABUPATEN CIREBON,2001-3000 M,3,DESA,2020
44,32,JAWA BARAT,3209,KABUPATEN CIREBON,3001-4000 M,1,DESA,2020
